,Serial Number,State_RTC,Route Link,Route Name,Boarding_point,Destination
132,133,SBSTC,https://www.redbus.in/bus-tickets/kolkata-to-ramnagar-west-bengal,Kolkata to Ramnagar (West Bengal),Kolkata,Ramnagar (West Bengal)
133,134,SBSTC,https://www.redbus.in/bus-tickets/kolkata-to-bajkul-west-bengal,Kolkata to Bajkul (West Bengal),Kolkata,Bajkul (West Bengal)
134,135,SBSTC,https://www.redbus.in/bus-tickets/kolkata-to-kirnahar-west-bengal,Kolkata to Kirnahar (West Bengal),Kolkata,Kirnahar (West Bengal)
135,136,SBSTC,https://www.redbus.in/bus-tickets/durgapur-to-bankura,Durgapur (West Bengal) to Bankura,Durgapur (West Bengal),Bankura
136,137,SBSTC,https://www.redbus.in/bus-tickets/siliguri-to-malda,Siliguri to Malda,Siliguri,Malda
137,138,SBSTC,https://www.redbus.in/bus-tickets/kolkata-to-suri,Kolkata to Suri,Kolkata,Suri
138,139,SBSTC,https://www.redbus.in/bus-tickets/purulia-to-durgapur,Purulia to Durgapur (West Bengal),Purulia,Durgapur (West Bengal)
139,140,BSRTC,https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Patna (Bihar),Bettiah
140,141,BSRTC,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Gopalganj (Bihar) to Delhi,Gopalganj (Bihar),Delhi
141,142,BSRTC,https://www.redbus.in/bus-tickets/patna-to-motihari,Patna (Bihar) to Motihari,Patna (Bihar),Motihari
142,143,BSRTC,https://www.redbus.in/bus-tickets/delhi-to-motihari,Delhi to Motihari,Delhi,Motihari
143,144,BSRTC,https://www.redbus.in/bus-tickets/bettiah-to-patna,Bettiah to Patna (Bihar),Bettiah,Patna (Bihar)
144,145,BSRTC,https://www.redbus.in/bus-tickets/motihari-to-delhi,Motihari to Delhi,Motihari,Delhi
145,146,BSRTC,https://www.redbus.in/bus-tickets/patna-to-balmiki-nagar-bihar,Patna (Bihar) to Balmiki Nagar (bihar),Patna (Bihar),Balmiki Nagar (bihar)
146,147,BSRTC,https://www.redbus.in/bus-tickets/balmiki-nagar-bihar-to-patna,Balmiki Nagar (bihar) to Patna (Bihar),Balmiki Nagar (bihar),Patna (Bihar)
147,148,BSRTC,https://www.redbus.in/bus-tickets/patna-to-kathmandu,Patna (Bihar) to Kathmandu,Patna (Bihar),Kathmandu
148,149,BSRTC,https://www.redbus.in/bus-tickets/patna-to-katihar,Patna (Bihar) to Katihar,Patna (Bihar),Katihar
